"GeographyPK","Site","Country","State","County","Park","Locality","Lat","Long","SiteStatus","FirePerim"
1,"L21","USA","CA","Mariposa","YOSE","Illilouette basin",37.67277762,119.4753601,"MOD","Hoover"
2,"L23","USA","CA","Mariposa","YOSE","Illilouette basin",37.67460178,119.4708745,"MOD",NA
3,"L24","USA","CA","Mariposa","YOSE","Illilouette basin",37.67617162,119.4845089,"HIGH","Hoover"
4,"L25","USA","CA","Mariposa","YOSE","Illilouette basin",37.6797693,119.4869646,"HIGH",NA
5,"L31","USA","CA","Mariposa","YOSE","Illilouette basin",37.67592972,119.4980831,"MOD",NA
6,"L32","USA","CA","Mariposa","YOSE","Illilouette basin",37.67767467,119.4982324,"LOW",NA
7,"L33","USA","CA","Mariposa","YOSE","Illilouette basin",37.67953067,119.4982493,"LOW","Hoover"
8,"L35","USA","CA","Mariposa","YOSE","Illilouette basin",37.68318501,119.4916368,"MOD","Hoover"
9,"L37","USA","CA","Mariposa","YOSE","Illilouette basin",37.66161469,119.4953473,"LOW",NA
10,"N131","USA","CA","Mariposa","YOSE","Illilouette basin",37.67534902,119.526569,"LOW","Meadow"
11,"N1310","USA","CA","Mariposa","YOSE","Illilouette basin",37.67796996,119.572008,NA,NA
12,"N1311","USA","CA","Mariposa","YOSE","Illilouette basin",37.68206402,119.549473,NA,NA
13,"N1312","USA","CA","Mariposa","YOSE","Illilouette basin",37.68225999,119.540409,NA,NA
14,"N1313","USA","CA","Mariposa","YOSE","Illilouette basin",37.68230902,119.538143,NA,NA
15,"N1314","USA","CA","Mariposa","YOSE","Illilouette basin",37.67271602,119.565025,NA,NA
16,"N1315","USA","CA","Mariposa","YOSE","Illilouette basin",37.68420702,119.533673,NA,NA
17,"N1316","USA","CA","Mariposa","YOSE","Illilouette basin",37.67237403,119.496992,NA,NA
18,"N1317","USA","CA","Mariposa","YOSE","Illilouette basin",37.64117902,119.523144,NA,NA
19,"N1318","USA","CA","Mariposa","YOSE","Illilouette basin",37.64122797,119.520879,NA,NA
20,"N1319","USA","CA","Mariposa","YOSE","Illilouette basin",37.64298004,119.523205,NA,NA
21,"N132","USA","CA","Mariposa","YOSE","Illilouette basin",37.680508,119.538082,"MOD","Meadow"
22,"N1320","USA","CA","Mariposa","YOSE","Illilouette basin",37.64302899,119.52094,NA,NA
23,"N1321","USA","CA","Mariposa","YOSE","Illilouette basin",37.64478098,119.523266,NA,NA
24,"N1322","USA","CA","Mariposa","YOSE","Illilouette basin",37.64483001,119.521001,NA,NA
25,"N1323","USA","CA","Mariposa","YOSE","Illilouette basin",37.64487804,119.518736,NA,NA
26,"N133","USA","CA","Mariposa","YOSE","Illilouette basin",37.68001799,119.560741,"HIGH","Meadow"
27,"N134","USA","CA","Mariposa","YOSE","Illilouette basin",37.67451704,119.565087,"MOD","Meadow"
28,"N135","USA","CA","Mariposa","YOSE","Illilouette basin",37.67802,119.569742,"MOD","Meadow"
29,"N136","USA","CA","Mariposa","YOSE","Illilouette basin",37.67256799,119.571822,"LOW","Meadow"
30,"N137","USA","CA","Mariposa","YOSE","Illilouette basin",37.66906503,119.567166,"HIGH","Meadow"
31,"N138","USA","CA","Mariposa","YOSE","Illilouette basin",37.66361302,119.569245,"LOW",NA
32,"N139","USA","CA","Mariposa","YOSE","Illilouette basin",37.68352096,119.565397,"LOW","Meadow"
33,"P11","USA","CA","Mariposa","YOSE","Illilouette basin",37.68295644,119.5075144,NA,NA
34,"P110","USA","CA","Mariposa","YOSE","Illilouette basin",37.67698048,119.534546,"MOD",NA
35,"P12","USA","CA","Mariposa","YOSE","Illilouette basin",37.68298636,119.5052591,NA,NA
36,"P13","USA","CA","Mariposa","YOSE","Illilouette basin",37.68664146,119.5007558,NA,NA
37,"P14","USA","CA","Mariposa","YOSE","Illilouette basin",37.68672343,119.4985927,NA,NA
38,"P15","USA","CA","Mariposa","YOSE","Illilouette basin",37.68852697,119.4985286,NA,NA
39,"P16","USA","CA","Mariposa","YOSE","Illilouette basin",37.66981571,119.5274549,"UNCHANGED",NA
40,"P17","USA","CA","Mariposa","YOSE","Illilouette basin",37.67163794,119.5298861,"UNCHANGED",NA
41,"P18","USA","CA","Mariposa","YOSE","Illilouette basin",37.67518063,119.5344393,"LOW",NA
42,"P19","USA","CA","Mariposa","YOSE","Illilouette basin",37.67530468,119.5320174,"LOW",NA
43,"P21","USA","CA","Mariposa","YOSE","Illilouette basin",37.67978179,119.4846634,"HIGH",NA
44,"P210","USA","CA","Mariposa","YOSE","Illilouette basin",37.68921554,119.466699,NA,NA
45,"P22","USA","CA","Mariposa","YOSE","Illilouette basin",37.67973863,119.4824397,"MOD",NA
46,"P23","USA","CA","Mariposa","YOSE","Illilouette basin",37.67975103,119.4801385,"UNCHANGED",NA
47,"P24","USA","CA","Mariposa","YOSE","Illilouette basin",37.68180787,119.4778827,"LOW","Hoover"
48,"P25","USA","CA","Mariposa","YOSE","Illilouette basin",37.68337428,119.484806,"HIGH",NA
49,"P26","USA","CA","Mariposa","YOSE","Illilouette basin",37.68199721,119.4688636,"LOW",NA
50,"P27","USA","CA","Mariposa","YOSE","Illilouette basin",37.68378968,119.466746,"LOW",NA
51,"P28","USA","CA","Mariposa","YOSE","Illilouette basin",37.68548358,119.4667568,"LOW",NA
52,"P29","USA","CA","Mariposa","YOSE","Illilouette basin",37.68748417,119.466755,NA,NA
53,"P310","USA","CA","Mariposa","YOSE","Illilouette basin",37.67046212,119.4979791,"HIGH","Hoover"
54,"P32","USA","CA","Mariposa","YOSE","Illilouette basin",37.68512869,119.4870756,"HIGH",NA
55,"P33","USA","CA","Mariposa","YOSE","Illilouette basin",37.6851675,119.4848092,"HIGH","Hoover"
56,"P34","USA","CA","Mariposa","YOSE","Illilouette basin",37.68694648,119.4871931,"LOW",NA
57,"P35","USA","CA","Mariposa","YOSE","Illilouette basin",37.68688554,119.4849572,"LOW",NA
58,"P36","USA","CA","Mariposa","YOSE","Illilouette basin",37.66514372,119.4955109,"LOW",NA
59,"P37","USA","CA","Mariposa","YOSE","Illilouette basin",37.66518261,119.493245,"LOW","Horizon"
60,"P38","USA","CA","Mariposa","YOSE","Illilouette basin",37.66693267,119.497838,"MOD",NA
61,"P39","USA","CA","Mariposa","YOSE","Illilouette basin",37.66689956,119.4955697,"MOD",NA
62,"P41","USA","CA","Mariposa","YOSE","Illilouette basin",37.66887132,119.488834,"LOW",NA
63,"P43","USA","CA","Mariposa","YOSE","Illilouette basin",37.67068198,119.4888605,"LOW","Horizon"
64,"P44","USA","CA","Mariposa","YOSE","Illilouette basin",37.67241636,119.4912198,"UNCHANGED",NA
65,"P45","USA","CA","Mariposa","YOSE","Illilouette basin",37.6724835,119.488898,"LOW",NA
66,"R210","USA","CA","Mariposa","YOSE","Illilouette basin",37.65370511,119.5223408,"UNCHANGED",NA
67,"R212","USA","CA","Mariposa","YOSE","Illilouette basin",37.66403924,119.4614669,"LOW",NA
68,"R213","USA","CA","Mariposa","YOSE","Illilouette basin",37.66596741,119.4614739,"LOW",NA
69,"R29","USA","CA","Mariposa","YOSE","Illilouette basin",37.65368583,119.5245049,"HIGH",NA
70,"W01","USA","CA","Mariposa","YOSE","Illilouette basin",37.68020868,119.5528193,"HIGH",NA
71,"W02","USA","CA","Mariposa","YOSE","Illilouette basin",37.68017641,119.5505619,"MOD",NA
72,"W03","USA","CA","Mariposa","YOSE","Illilouette basin",37.68206729,119.5481323,"HIGH",NA
73,"W04","USA","CA","Mariposa","YOSE","Illilouette basin",37.68207584,119.546069,"HIGH","Meadow"
74,"W11","USA","CA","Mariposa","YOSE","Illilouette basin",37.676725,119.5434825,"MOD",NA
75,"W12","USA","CA","Mariposa","YOSE","Illilouette basin",37.67680278,119.541127,"MOD",NA
76,"W13","USA","CA","Mariposa","YOSE","Illilouette basin",37.67682139,119.5390075,"MOD",NA
77,"W14","USA","CA","Mariposa","YOSE","Illilouette basin",37.67861118,119.5412567,"HIGH",NA
78,"W15","USA","CA","Mariposa","YOSE","Illilouette basin",37.67854177,119.5390435,"MOD",NA
79,"W210","USA","CA","Mariposa","YOSE","Illilouette basin",37.66116139,119.5111787,"LOW",NA
80,"W211","USA","CA","Mariposa","YOSE","Illilouette basin",37.6628268,119.5159051,"LOW",NA
81,"W22","USA","CA","Mariposa","YOSE","Illilouette basin",37.66566013,119.4705665,"HIGH",NA
82,"W23","USA","CA","Mariposa","YOSE","Illilouette basin",37.66574638,119.4660124,"MOD",NA
83,"W24","USA","CA","Mariposa","YOSE","Illilouette basin",37.66582911,119.4637819,"LOW",NA
84,"W25","USA","CA","Mariposa","YOSE","Illilouette basin",37.66754639,119.4708558,"LOW",NA
85,"W26","USA","CA","Mariposa","YOSE","Illilouette basin",37.66763633,119.4661316,"MOD",NA
86,"W27","USA","CA","Mariposa","YOSE","Illilouette basin",37.65923297,119.5179373,"UNCHANGED",NA
87,"W28","USA","CA","Mariposa","YOSE","Illilouette basin",37.65924512,119.5156821,"UNCHANGED",NA
88,"W29","USA","CA","Mariposa","YOSE","Illilouette basin",37.6610723,119.5157778,"LOW",NA
