"PlantPK","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
1,"","","",""
2,"Achillea","millefolium","",""
3,"Aconitum","columbianum","",""
4,"Agoseris","grandiflora","",""
5,"Apocynum","androsaemifolium","",""
6,"Arnica","nevadensis","",""
7,"Aster","breweri","",""
8,"Aster","integrifolius","",""
9,"Aster","sp.","",""
10,"Brassica","sp.","",""
11,"Calochortus","spp.","",""
12,"Calyptridium","umbellatum","",""
13,"Castilleja","applegatei","ssp.","disticha"
14,"Ceanothus","cordulatus","",""
15,"Chaenactis","douglasii","var.","douglasii"
16,"Cirsium","andersonii","",""
17,"Collinsia","torreyi","var.","torreyi"
18,"Collomia","grandiflora","",""
19,"Cymopterus","terebinthinus","",""
20,"Delphinium","sp.","",""
21,"Epilobium","angustifloium","ssp.","circumvagum"
22,"Epilobium","ciliatum","ssp.","glandulosum"
23,"Ericameria","bloomeri","",""
24,"Erigeron","brewerii","var.","brewerii"
25,"Eriogonum","nudum","var.","nudum"
26,"Eriogonum","spergulinum","var.","reddingianum"
27,"Eriogonum","umbellatum","",""
28,"Eriogonum","wrightti","var.","subscaposum"
29,"Eriophyllum","lanatum","var.","integrifolium"
30,"Erysimum","capitatum","ssp.perenne",""
31,"Gayophytum","diffusum","",""
32,"Gayophytum","eriospermum","",""
33,"Geranium","richardsonii","",""
34,"Hackelia","micrantha","",""
35,"Hackelia","mundula","",""
36,"Heracleum","lanatum","",""
37,"Hieracium","albiflorum","",""
38,"Horkelia","fusca","",""
39,"Hypochaeris","radicata","",""
40,"Ipomopsis","aggregata","ssp.","formosissima"
41,"Kelloggia","galioides","",""
42,"Lilium","pardalinum","ssp.","pardalinum"
43,"Lupinus","breweri","var.","breweri"
44,"Lupinus","fulcratus","",""
45,"Lupinus","latifolius","var.","columbianus"
46,"Madia","gracilis","",""
47,"Malacothrix","floccifera","",""
48,"Mimulus","floribundus","",""
49,"Mimulus","whitneyi","",""
50,"Monardella","odoratissima","ssp.","pallida"
51,"Osmorhiza","bertero","ssp.","chilensis"
52,"Pedicularis","semibarbata","",""
53,"Penstemon","newberryi","var.newberryi",""
54,"Phacelia","hastata","ssp.","compacta"
55,"Polygonum","bistortoides","",""
56,"Potentilla","drummondii","ssp.","brewerii"
57,"Potentilla","glandulosa","",""
58,"Potentilla","gracilis","",""
59,"Potentilla","sp.","",""
60,"Pseudognaphalium","spp.","",""
61,"Raillardella","scaposa","",""
62,"Ribes","cereum","var.","cereum"
63,"Senecio","aronicoides","",""
64,"Senecio","scorzonella","",""
65,"Senecio","triangularis","",""
66,"Solidago","canadensis","ssp.","elongata"
67,"Stachys","albens","",""
68,"Stephanomeria","sp.","",""
69,"Tragopogon","dubius","",""
70,"Triteleia","ixioides","ssp.","anilina"
71,"Veratrum","californicum","",""
72,"Wyethia","mollis","",""
